Dept_Code,Dept_Name,Note,M&E_type,BCC_Replacement,Contract_Status,Vendor,Contract_No,Contract_Link,Project_Code,Project_Name,Object_Code,Object_Name,Object_Type,FY2027_Proposed,Fund_code,activity
11141060,Marketing,,,,,,,,,,554000,Books Publications Subscriptions or Memberships,Operating Expenditures,"73,300.00",111,Economic Environment
00119000,Environmental Services,ATV Side-by-side,Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"17,500.00",001,Physical Environment
00117000,Building Construction and Maintenance,Crew Cab Truck - New (Morrison Springs Attendant),Vehicle,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"68,000.00",001,General Government
11141060,Marketing,"Workers' compensation premiums are budgeted based on employee classifications, payroll, and rates established by the County's workers' compensation insurance provider.",,,,,,,,,524000,Workers Compensation,Personnel Services,315.00,111,Economic Environment
10528000,Mosquito Control,4x4 Cab Truck,Vehicle,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"55,000.00",105,Human Services
10528000,Mosquito Control,ULV Spray Unit,Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"18,000.00",105,Human Services
11242001,Solid Waste Transfer,Small County Surtax (Mossy Head Wastewater Treatment),,,,,,,,,591000,Intergovernmental Transfers,Other Uses,"379,000.00",112,Interfund Transfers
11242001,Solid Waste Transfer,Small County Surtax (Transportation),,,,,,,,,591000,Intergovernmental Transfers,Other Uses,"14,621,000.00",112,Interfund Transfers
00104000,Planning,SUV - Replacement,Vehicle,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"60,000.00",001,General Government
10326000,Building Department,,,,,,,,,,564000,Machinery & Equipment,Capital Outlay,,103,Public Safety
10116001,Public Works,21 yard Dump Truck- District 2,Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"245,000.00",101,Transportation
10116001,Public Works,"1000 gal Water Tank w/ 2"" pump and chemical storage rack - PW County Wide",Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"14,000.00",101,Transportation
10116001,Public Works,"75-80 hp Tractor w/Loader, Grapple, Forks-PW County Wide",Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"85,000.00",101,Transportation
10116001,Public Works,1/2 Ton Pickup Crew Cab w/fuel transfer tank and toolbox - Replacement,Vehicle,9214,,,,,,,564000,Machinery & Equipment,Capital Outlay,"58,000.00",101,Transportation
10116001,Public Works,3/4 Ton Crew Cab Truck w/Utility Body - Replacement,Vehicle,9005,,,,,,,564000,Machinery & Equipment,Capital Outlay,"65,000.00",101,Transportation
10116001,Public Works,1/2 Ton Pickup Crew Cab w/fuel transfer tank and toolbox - Replacement,Vehicle,10427,,,,,,,564000,Machinery & Equipment,Capital Outlay,"58,000.00",101,Transportation
10116001,Public Works,Mid-size Excavator - Special Projects Crew,Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"159,000.00",101,Transportation
10116001,Public Works,Flatbed Dump (750 or equiv.) -Special Projects Crew,Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"165,000.00",101,Transportation
10116001,Public Works,Mid-size Excavator-Drainage Crew,Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"159,000.00",101,Transportation
10116001,Public Works,Service Truck w/Lube Body-County Shop,Vehicle,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"195,000.00",101,Transportation
10116001,Public Works,21 yard Dump Truck-District 5,Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"245,000.00",101,Transportation
